Subject;Start Date;Start Time;End Date;End Time;Location;Description
Restmüll;03/01/2023;00:00:00;04/01/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;04/01/2023;00:00:00;05/01/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;05/01/2023;00:00:00;06/01/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;11/01/2023;00:00:00;12/01/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;17/01/2023;00:00:00;18/01/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;18/01/2023;00:00:00;19/01/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;19/01/2023;00:00:00;20/01/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;25/01/2023;00:00:00;26/01/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Papiertonne;27/01/2023;00:00:00;28/01/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
Restmüll;31/01/2023;00:00:00;01/02/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;01/02/2023;00:00:00;02/02/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;02/02/2023;00:00:00;03/02/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;08/02/2023;00:00:00;09/02/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;14/02/2023;00:00:00;15/02/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;15/02/2023;00:00:00;16/02/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;16/02/2023;00:00:00;17/02/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;22/02/2023;00:00:00;23/02/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Papiertonne;24/02/2023;00:00:00;25/02/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
Restmüll;28/02/2023;00:00:00;01/03/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;01/03/2023;00:00:00;02/03/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;02/03/2023;00:00:00;03/03/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;08/03/2023;00:00:00;09/03/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Restmüll;14/03/2023;00:00:00;15/03/2023;00:00:00;Hainstadt;Restmüll morgen rausstellen nicht vergessen
Biotonne;15/03/2023;00:00:00;16/03/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Gelber-Sack;16/03/2023;00:00:00;17/03/2023;00:00:00;Hainstadt;Gelber-Sack morgen rausstellen nicht vergessen
Biotonne;22/03/2023;00:00:00;23/03/2023;00:00:00;Hainstadt;Biotonne morgen rausstellen nicht vergessen
Papiertonne;24/03/2023;00:00:00;25/03/2023;00:00:00;Hainstadt;Papiertonne morgen rausstellen nicht vergessen
Restmüll + Sonderabfall Abgabestelle - Sonderabfall-Kleinmengensammlung: Bahnhofstr. 4 (Breuberghalle) 09: 00 Uhr-13: 00 Uhr;28/03/2023;00:00:00;29/03/2023;00:00:00;Hainstadt;Sonderabfall morgen abgeben nicht vergessen
